source_id,teff_gspphot,logg_gspphot,mh_gspphot,radial_velocity,radial_velocity_error,parallax,parallax_error,phot_g_mean_mag,lum_flame,mass_flame,radius_flame,age_flame
2641087471777046016,6004.221,4.3441,-0.5208,25.195822,1.0841446,2.921518473322724,0.015136118,12.02088,1.5481524,1.1709168,1.0801252,0.30204388
3698307419878650240,6438.769,4.2178,-0.6196,-3.2164922,0.25128436,9.172463513257306,0.022114921,8.895371,2.4619458,1.2470483,1.2608125,1.2366706
3868603216762016256,5250.32,4.4432,0.3872,29.19487,0.7983305,5.364122899313626,0.018559784,11.585624,0.6126395,,0.9461797,
5144740907820131840,3643.8232,4.0184,-1.4042,13.065121,0.17249341,35.1118623788838,0.01927719,10.19766,0.08407706,,0.72758466,
5153091836072107136,3282.5583,4.9874,-0.2232,-5.7440805,0.32848245,145.69218853775283,0.024446325,10.058402,0.008263872,,0.28043103,
5337273743301313536,6679.9697,4.1121,-0.443,,,0.6262406695578141,0.01675056,14.551385,4.245944,1.3628258,1.5422205,1.8029093
5574766468155514752,5513.092,4.1184,0.1461,-23.548847,0.25111723,3.460921346451111,0.011811644,10.919234,2.758361,1.0691531,1.8171359,8.706189
5583831735369515008,,,,79.64461,0.12655745,7.990161844937773,0.053483315,4.8742375,,,,
6160877943251930368,5425.766,4.4758,-0.0458,3.398269,0.42001313,6.119347825228329,0.020277414,11.279936,0.6530069,0.8824787,0.9144541,9.73076
6214868495365748096,5841.4673,4.5127,0.0986,5.1658435,0.2895068,11.716288477673574,0.01994113,9.50054,0.9398236,1.0596753,0.94655734,
114340658009875072,6744.677,4.0126,-0.5133,,,11.4089978615118,0.025877804,7.4233413,6.136146,1.4650372,1.8141829,1.8275831
2073779161653824640,5754.194,4.3118,-0.2374,,,0.8794016057368367,0.017656783,14.842378,1.3847336,0.97278976,1.1842964,9.878161
2080534148769345408,4879.33,4.5521,-0.5585,-89.24606,7.301975,1.9331088445189333,0.017105464,14.849318,0.27249718,0.8087339,0.7311568,1.5154057
