main_id,sp_type,rvz_radvel,rvz_type,query_id
UCAC4 448-013340,,,,Gaia-1
TYC 4123-515-1,,-36.11,v,Gaia-2
PM J13580+3141,M1.3,-17.3477,v,Gaia-4
2MASS J20080963+4156281,,-53.72,v,Gaia-5
G  32-5,M4V,51.213,v,GJ 12
CD-45  5378,M1V,47.74,v,GJ 367
Ross 1020,M4V,-18.399,v,GJ 3779
BD+48  1829,M1V,-9.778,v,GJ 378
G 180-18,M3.5V,10.14,v,GJ 3929
BD+01  2447,dM2,8.36,v,GJ 393
MCC 759,M0.5V,-19.37,v,GJ 3942
G 203-42,M5.0V,37.455,v,GJ 3988
BD+11  3149,M1V,-45.75,v,GJ 3998
V* DS Leo,M1.0Ve,-14.04,v,GJ 410
HD  95735,M2+V,-84.64,v,GJ 411
HD  97101,K7V,-16.63,v,GJ 414 A
HD 304043,M3.5V,-50.524,v,GJ 422
L  788-34,M4.5Ve,,,GJ 4274
G 232-70,M3.5V,28.977,v,GJ 4276
CD-31  9113,M2V,17.986,v,GJ 433
Ross  905,M3V,9.59,v,GJ 436
Ross  690,M3V,9.098,v,GJ 463
Wolf  433,M3.5V,-4.19,v,GJ 480
Wolf  437,M3.5V,19.18,v,GJ 486
BD+61   195,M1.5V,-6.05,v,GJ 49
* e Vir,G0IV,-27.0,v,GJ 504
BD+35  2439,M1V,-35.421,v,GJ 508.2
BD+11  2576,M1.0V,14.47,v,GJ 514
HD 122303,M0V,-25.9,v,GJ 536
BD-07  4003,M3V,-9.24,v,GJ 581
G 202-48,M1.5V,-13.01,v,GJ 625
BD+25  3173,M2V,4.337,v,GJ 649
HD 156384C,M1.5V,6.368,v,GJ 667 C
CD-46 11540,M3V,-2.904,v,GJ 674
CD-51 10924,M0V,-39.242,v,GJ 676 A
CD-48 11837,M1.5V,-22.938,v,GJ 680
CD-44 11909,M3.5V,-34.869,v,GJ 682
G 226-66,M1V,-14.885,v,GJ 685
BD+18  3421,M1.5V,-9.61,v,GJ 686
